input_body_mean,input_body_sd,true_vac_rad,sliced_vac_rad,true_bodies,sliced_bodies
16,4,1195.5421094642327,647.3777663863949,16,0
16,4,1476.9354593085495,654.9032561537908,12,0
16,4,1746.0631913979632,930.763762913727,14,0
16,4,1317.236983009001,1187.5319255267007,16,8
16,4,1134.1225926110233,926.3047322411535,22,14
16,4,1375.6040949877345,1157.3384587316336,12,0
16,4,1597.269540635317,1445.7608423685497,22,0
16,4,1012.0825837978838,730.2211931115496,18,7
16,4,1277.5532148148693,939.1059665747365,12,4
16,4,1193.771342821646,1117.2155687792283,16,7
16,4,708.8032747137603,653.6010271832488,NA,NA
16,4,1032.9063316063816,1032.9063131167816,13,7
16,4,1272.2785869867262,610.2273458088421,13,0
16,4,1083.0211817520594,796.3336285636633,17,0
16,4,1063.1776838182388,818.065015129679,16,0
16,4,1135.507285453295,1059.9950229032722,21,11
16,4,1407.8448908453165,1122.413516820407,17,0
16,4,1075.7225644235104,702.604843776838,14,0
16,4,1326.4525059500775,1131.342001497206,12,9
16,4,1382.0029810244446,1369.950403044083,2,0
16,4,922.8639906371436,652.8144356888434,16,0
16,4,1286.5902406915388,943.7983302111953,16,5
16,4,1175.2574895932853,649.7078407847574,19,0
16,4,1573.3292766606369,1484.3280068304146,14,7
16,4,1020.3614586348866,860.3238272683276,4,2
16,4,1446.6657362097624,1412.9860242581972,18,0
16,4,1245.3413999498157,935.2381963584338,11,0
16,4,1138.2784005469073,605.5808410448329,21,0
16,4,986.4122950350393,666.4934216113555,14,0
16,4,1667.784073388747,960.7512141478809,12,0
16,4,845.2346959795474,837.2933994753682,12,4
16,4,1211.5595638461427,1043.2524350248912,18,10
16,4,1069.437473129162,991.4574095720435,13,0
16,4,1519.9343617223267,1358.2970505148485,19,8
16,4,638.9620803117149,520.6829717590251,15,3
16,4,1237.703523460265,1123.5367449842793,19,8
16,4,1615.9501275564983,1454.9840297069957,13,2
16,4,932.1813979396534,573.3768804938993,15,8
16,4,1358.8192238381973,1194.896156543481,16,5
16,4,964.9853612029063,455.3830497142489,12,0
16,4,1029.7065312705872,883.5367329776259,13,6
16,4,1217.8356706216514,1136.3995095293812,19,0
16,4,1219.4285860943032,607.8446631090684,17,0
16,4,1016.7652729054631,1009.9178871567473,17,5
16,4,1154.770424257753,774.5520257095343,19,1
16,4,814.1441505628362,573.9596845414244,8,0
16,4,1285.8541442929622,1170.9758806255536,14,8
16,4,1072.620505230125,915.3595975909133,12,0
16,4,1140.2336902916945,1114.7974034341985,9,1
16,4,1293.3437195595814,1286.3038379469483,NA,NA
16,4,850.600874441024,652.0176534130098,23,1
16,4,929.3666228088256,773.3394090711055,14,0
16,4,871.9699364459398,807.1077282987462,14,2
16,4,881.8449148436854,866.9235701819734,19,8
16,4,1309.3109050861601,467.29448201820514,15,0
16,4,1018.5811143938047,768.8836935563293,18,2
16,4,1069.3885399353069,1047.0196842490436,17,10
16,4,726.8189776673197,412.5403227083386,NA,NA
16,4,1298.8361004745818,710.2532083381261,12,0
16,4,1006.6305571970246,898.7572108824265,18,2
16,4,982.1847706569006,453.70921388203,19,2
16,4,1000.4528461916052,985.2377845982215,23,10
16,4,1452.5933618041695,1106.3678265407823,10,5
16,4,754.1359906477279,396.8078487715146,16,1
16,4,1240.7224641024918,1237.2408251431248,17,1
16,4,1057.6817780139463,1057.5407071899997,14,1
16,4,849.2054338892872,756.390623277263,NA,NA
16,4,1327.4687683029535,1313.2925565550672,18,0
16,4,1174.1793955200756,1174.1422630180512,21,12
16,4,835.5425146489667,303.04089739861814,15,1
16,4,648.3762837214118,321.91230950809,NA,NA
16,4,1334.9671481259606,1310.274828114912,11,0
16,4,1046.0430616597562,959.6949987114864,16,9
16,4,1543.4312078741484,1516.8779999106816,9,5
16,4,1015.3439624328561,1001.1367276561559,11,0
16,4,1090.7725876049963,942.838200870717,19,4
16,4,784.7113882518979,481.4665602469143,13,0
16,4,990.0802772791835,925.7818669844576,15,10
16,4,1533.9918207164812,1091.2547407104576,16,10
16,4,1058.113556328876,568.8898319545177,21,0
16,4,1619.4927881459923,1609.2909226322533,9,0
16,4,1197.0019866854736,1147.370203028082,16,0
16,4,730.407011558863,676.3896660221145,NA,NA
16,4,761.6453675531401,695.8499945776737,18,3
16,4,1149.065635211203,1070.5826459116888,24,1
16,4,768.4966655002366,508.2374484139023,17,3
16,4,1599.1100128607038,875.2605382661727,21,0
16,4,1218.79301252162,995.3379364000276,18,0
16,4,1437.3737424014469,1437.3337959157318,18,1
16,4,1039.5565198050479,1033.5800979376365,14,1
16,4,1111.307048588527,976.9373619811839,18,12
16,4,1586.2994285375903,310.5002951201167,16,0
16,4,1371.6160486681906,1193.880842054096,15,0
16,4,1228.4659328638563,763.7694483120998,18,6
16,4,1495.4941199535967,1425.453131249586,19,0
16,4,897.2995372324943,698.4779883815635,16,2
16,4,1289.1394966971288,1265.6517810987561,16,2
16,4,677.4446537284277,669.2732924375714,13,8
16,4,782.1848057807979,463.0899350093142,15,1
16,4,1462.9462836476455,1227.1638099030736,11,5
16,4,635.0602672464548,546.9448926154072,NA,NA
16,4,1408.6965593960758,736.4423964315102,15,0
16,4,933.6850356649015,838.3249297321773,16,0
16,4,1260.8430790012278,1247.3995533465709,15,4
16,4,1086.2573385377964,1077.5770533575183,18,8
16,4,1360.2953395894372,1210.9479414798557,11,2
16,4,686.4052605757275,643.743112371524,NA,NA
16,4,919.6368391541456,917.564341550974,17,6
