input_body_mean,input_body_sd,true_vac_rad,sliced_vac_rad,true_bodies,sliced_bodies,cl
16,4,995.4350233955673,426.1276054080977,17.0,0.0,t2
16,4,924.1750375791277,918.3546121687108,24.0,10.0,t2
16,4,1144.493102993511,1144.493102993511,18.0,6.0,t2
16,4,1087.6606104817777,1031.7084431167123,14.0,0.0,t2
16,4,1899.471108781936,379.6018509938504,17.0,0.0,t2
16,4,921.730509039502,894.0600105724898,18.0,2.0,t2
16,4,1193.4836760242974,1187.177216698793,17.0,2.0,t2
16,4,1017.0690413991614,1007.7943110609456,17.0,5.0,t2
16,4,884.1914445820772,651.1733033834004,11.0,1.0,t2
16,4,1181.7277632715256,308.922969100526,18.0,0.0,t2
16,4,1334.6586132162186,692.3799750974257,13.0,0.0,t2
16,4,1172.582805018582,1168.9013447192626,15.0,0.0,t2
16,4,1083.8770886859356,1050.562128333282,10.0,6.0,t2
16,4,1231.7827263416286,1224.0015324082087,14.0,0.0,t2
16,4,1034.0774899108949,1006.8731733390866,12.0,2.0,t2
16,4,2342.841613194388,2300.742920821012,13.0,0.0,t2
16,4,920.1130542494856,627.1714176632787,15.0,2.0,t2
16,4,1301.8350854233836,969.1824413612303,26.0,7.0,t2
16,4,1774.0781694657185,1335.0722097249845,16.0,3.0,t2
16,4,1219.858632033336,1055.9408855306515,15.0,0.0,t2
16,4,1358.9323180382125,768.6669140763721,16.0,4.0,t2
16,4,1295.500819168064,308.9316350760115,22.0,0.0,t2
16,4,1519.4212786633566,1419.2949630649832,16.0,3.0,t2
16,4,1393.967329366117,897.6657255955001,22.0,0.0,t2
16,4,907.2421254951147,779.3194388149506,15.0,1.0,t2
16,4,1058.9119729980898,802.3177564199707,13.0,1.0,t2
16,4,1264.677650332687,1112.1592123706796,21.0,4.0,t2
16,4,1714.2886244193194,1667.9278984758364,14.0,2.0,t2
16,4,1601.0633444663354,1117.6166779124258,26.0,0.0,t2
16,4,1055.6804228757424,933.7664373235724,13.0,0.0,t2
16,4,916.2815645529944,751.0628938756823,18.0,2.0,t2
16,4,1170.5146728731634,1004.3351064432843,14.0,0.0,t2
16,4,1264.8860092434688,1246.6467490944647,16.0,0.0,t2
16,4,1490.6746927619029,1053.7559163825567,18.0,9.0,t2
